A̱o,Consumo_electrico_PC,INB_ATLAS_PC,Penetracion_Celular_100,Inversion_Extranjera,Desempleo,Poblacion_Activa,Pob_mayor_65_Hombre,Pob_mayor_65_Mujer,Pob_mayor_65_Total,Pob_0_14_Hombre,Pob_0_14_Mujer,Pob_0_14_Total,Pob_15_64_Hombre,Pob_15_64_Mujer,Pob_15_64_Total
2000,2386.7188,5489.008,12.042653,1569120000000.0,5.7739983,2760410600.0,182952450.0,237176350.0,420128860.0,949936800.0,893280450.0,1843217300.0,1944338000.0,1904116600.0,3848454700.0
2001,2380.3367,5464.886,15.4781,895500000000.0,5.8539543,2797040600.0,188218660.0,242573150.0,430789730.0,951979500.0,894521200.0,1846494800.0,1977317400.0,1936530600.0,3913856000.0
2002,2435.101,5423.078,18.516323,755583000000.0,6.113163,2838913000.0,193541300.0,248226000.0,441763970.0,951337860.0,892966460.0,1844294900.0,2012899000.0,1971223400.0,3984135200.0
2003,2500.4856,5824.5054,22.220385,737213000000.0,6.188534,2883822000.0,198763470.0,253971700.0,452731700.0,949166200.0,889858370.0,1839014800.0,2050234000.0,2007338800.0,4057586000.0
2004,2578.3528,6636.6216,27.291502,1010430000000.0,6.015972,2932247000.0,203579410.0,259457920.0,463035040.0,947539300.0,887364900.0,1834897800.0,2087738600.0,2043337200.0,4131084500.0
2005,2656.1484,7354.1543,33.75717,1563480000000.0,5.9012985,2978118100.0,207872750.0,264534260.0,472407100.0,947552200.0,886624830.0,1834177000.0,2124394100.0,2078256600.0,4202650600.0
2006,2732.4248,7845.8574,41.553146,2202600000000.0,5.5940576,3014743300.0,212957360.0,269942100.0,482896160.0,949437950.0,887674430.0,1837112300.0,2158768400.0,2111453600.0,4270225400.0
2007,2822.0781,8362.794,50.25003,3135870000000.0,5.3535132,3054910500.0,217597600.0,274996260.0,492589380.0,952666300.0,890214900.0,1842883800.0,2192472000.0,2143773700.0,4336247300.0
2008,2843.368,8952.928,59.359978,2478030000000.0,5.352536,3090361000.0,222107020.0,280057570.0,502160400.0,957118850.0,894101600.0,1851226000.0,2225661000.0,2175412200.0,4401072000.0
2009,2793.8694,8982.86,67.47875,1446870000000.0,6.003152,3123387100.0,226798880.0,285514660.0,512310750.0,961941800.0,898428900.0,1860376000.0,2258177800.0,2206281500.0,4464457000.0
2010,2957.943,9411.83,76.14282,1916740000000.0,5.922202,3152655400.0,231918460.0,291676030.0,523594530.0,966669630.0,902703170.0,1869372800.0,2290075100.0,2236435000.0,4526510000.0
2011,3023.1912,9901.431,83.69515,2365700000000.0,5.8035893,3183946200.0,238213470.0,298568960.0,536777820.0,972251600.0,908010560.0,1880268900.0,2319165200.0,2264296000.0,4583459000.0
2012,3050.2148,10496.849,87.90751,2065260000000.0,5.774086,3218194200.0,244914060.0,306233440.0,551140700.0,977693200.0,913219100.0,1890920300.0,2348801300.0,2292589000.0,4641389600.0
2013,3110.5017,10874.585,92.43855,2184450000000.0,5.7732234,3250599700.0,252106320.0,314699070.0,566798700.0,983081300.0,918423600.0,1901511200.0,2378401500.0,2320663000.0,4699065000.0
2014,3132.5063,10995.402,96.02966,1942600000000.0,5.6329217,3283330800.0,260008750.0,324104400.0,584109000.0,988580800.0,923800960.0,1912385200.0,2407546600.0,2347988000.0,4755535400.0
2015,,10657.508,97.393166,2675510000000.0,5.6374903,3319710200.0,268746340.0,334532600.0,603279000.0,994159400.0,929317250.0,1923476700.0,2435915300.0,2374183700.0,4810099000.0
2016,,10396.307,100.6927,2672900000000.0,5.6696944,3354403000.0,279268130.0,346160770.0,625426000.0,1000025000.0,935328400.0,1935358100.0,2462572800.0,2398890800.0,4861461500.0
2017,,10449.857,102.7564,2066030000000.0,5.569701,3391647700.0,290411330.0,358609150.0,649016770.0,1005787600.0,941262660.0,1947058400.0,2488493300.0,2422523100.0,4911012400.0
2018,,11124.504,106.4349,1349950000000.0,5.391889,3427481300.0,301860600.0,371579620.0,673436900.0,1011137100.0,946850100.0,1957996900.0,2513570600.0,2445023200.0,4958587400.0
2019,,,,,5.3945136,3459586800.0,,,,,,,,,
