titulo,ranking
The First Descendant,3
Dota 2,4
Warframe,6
Once Human,8
Black Myth: Wukong,12
Baldur's Gate 3,11
Lost Ark,23
FINAL FANTASY XIV Online,25
Fallout 76,27
Crusader Kings III,29
The Elder Scrolls® Online,32
Dark and Darker,44
ヘブンバーンズレッド,31
Stardew Valley,41
Black Desert,56
THRONE AND LIBERTY,37
Cyberpunk 2077,42
Path of Exile,51
中国式网游,54
Diablo® IV,45
Palworld,50
Snowbreak: Containment Zone,62
"Warhammer 40,000: Rogue Trader",76
Project Zomboid,93
Dungeonborne,88
MapleStory,105
Warframe: Colección Legado Abrasador de Ember,49
Cyberpunk 2077: Phantom Liberty,97
Wartales,90
Hades II,102
ARK: Survival Ascended,98
Assassin's Creed® Odyssey,310
FOR HONOR™,119
Terraria,129
Marvel's Midnight Suns,120
The Elder Scrolls V: Skyrim Special Edition,125
STAR WARS™: The Old Republic™,133
Medieval Dynasty,116
Dungeons of Hinterberg,117
Enshrouded,124
ARK: Survival Evolved,130
FINAL FANTASY XIV: Dawntrail,146
Warframe: Paquete Digital de TennoCon 2024,99
Last Epoch,137
Slay the Spire,155
Shin Megami Tensei V: Vengeance,153
Assassin's Creed® Origins,96
Pathfinder: Wrath of the Righteous - Enhanced Edition,145
Another Crab's Treasure,189
DARK SOULS™ III,198
War Robots,150
Guild Wars 2,160
Fallout 4,161
Soulmask,136
SOULCALIBUR VI,177
Travellers Rest,144
Sekiro™: Shadows Die Twice - GOTY Edition,176
Yaoling: Mythical Journey,172
Atomic Heart,143
Tiny Tina's Wonderlands,188
Darkest Dungeon® II,185
Monster Hunter: World,186
Hero's Land,164
Palia,244
SCUM,207
Tabletop Simulator,245
Summer Memories,218
STALCRAFT: X,201
THRONE AND LIBERTY: Paquete de acceso anticipado de Lujo,195
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,213
Hogwarts Legacy,194
活俠傳,217
Pax Dei,204
Vampire Survivors,223
DAVE THE DIVER,234
Grounded,219
Blade and Sorcery,241
DARK SOULS™: REMASTERED,224
Bellwright,210
Dungeonborne - Saca de mithril,237
Crusader Kings III: Tours & Tournaments,214
PGA TOUR 2K23,308
Albion Online,212
Edición Completa de Horizon Forbidden West™,221
Wizard101,326
THRONE AND LIBERTY: Paquete de acceso anticipado Definitivo,231
Persona 3 Reload,267
Space Prison,222
SMITE®,262
Drug Dealer Simulator 2,215
Mount & Blade II: Bannerlord,251
Torchlight: Infinite,256
DRAGON BALL XENOVERSE 2,290
Age of Wonders 4,242
Summoners' War: Sky Arena,181
Dragon's Dogma 2,258
Winter Memories,266
Metal Slug: Awakening,281
REMNANT II®,300
Starfield,257
RuneScape ®,293
New World,271
Assassin’s Creed® IV Black Flag™,162
Limbus Company,330
Sky: Niños de la Luz,335
IdleOn - The Idle RPG,306
DREDGE,337
S.T.A.L.K.E.R. 2: Heart of Chornobyl,272
Hades,301
Phantasy Star Online 2 New Genesis,320
"Warhammer 40,000: Rogue Trader - Season Pass",325
Russian Fishing 4,294
Granblue Fantasy: Relink,388
Conan Exiles,295
Crusader Kings III: Royal Court,331
The Witcher 3: Wild Hunt,311
"Wartales, Pirates of Belerion",351
勾八狂想曲,393
The Last Spell,364
Divinity: Original Sin 2 - Definitive Edition,343
MONSTER HUNTER RISE,398
Summoners' War: Chronicles,431
The Elder Scrolls V: Skyrim Anniversary Upgrade,399
Rabbit and Steel,504
The Isle,414
Flintlock: The Siege of Dawn,332
Monster Hunter World: Iceborne,372
God of War,425
Persona 5 Royal,498
SMITE 2,345
Maneater,415
EA SPORTS™ PGA TOUR™,470
NosTale - Anime MMORPG,235
三国杀,374
Summer Memories+ - Expansion DLC,450
The Legend of Heroes: Trails through Daybreak,435
Gunfire Reborn,493
ARK: Bob's Tall Tales,365
Fallout: New Vegas,427
Firestone: Online Idle RPG,348
Slay the Princess,454
DC Universe™ Online,796
UNDECEMBER,734
Angel Tear: Goddess Betrayed,409
Smalland: Survive the Wilds,407
Warspear Online,447
Shop Titans,416
Sun Haven,457
Barony,518
Total War: WARHAMMER,488
System Shock,478
Crusader Kings III: Legacy of Persia,419
Coral Island,400
Living With Sister: Monochrome Fantasy,442
Dusk Pub,430
Shadows of Doubt,468
Game of Thrones Winter is Coming,545
The Hungry Lamb: Traveling in the Late Ming Dynasty,489
Colony Ship: A Post-Earth Role Playing Game,423
Crusader Kings III: Legends of the Dead,389
Assassin's Creed Valhalla,471
The Binding of Isaac: Repentance,481
Wartales - The Tavern Opens!,473
Ravenswatch,513
Star Trek Online,472
New World: Rise of the Angry Earth,486
Lies of P,480
The Sims™ 3,439
My Time at Sandrock,500
For The King II,558
STAR WARS Jedi: Survivor™,546
Warhammer: Vermintide 2,491
Disco Elysium - The Final Cut,670
Old School RuneScape,772
The Outer Worlds,482
Crusader Kings III: Roads to Power,460
Class of '09: The Re-Up,704
Shogun Showdown,566
Tom Clancy’s The Division® 2,642
Undertale,528
Noita,515
Big Ambitions,452
Minecraft Dungeons,539
Action Taimanin,410
星之翼,563
Night of the Dead,557
Castle Crashers®,645
Class of '09,735
Wayfinder,538
Rust - Voice Props Pack,577
Elite Dangerous,567
Library Of Ruina,687
The Elder Scrolls Online: Gold Road,561
Tom Clancy’s The Division™,597
Yu-Gi-Oh! Duel Links,536
Trove,706
Kingdom Come: Deliverance,519
Grim Dawn,530
FINAL FANTASY VII REMAKE INTERGRADE,643
下一站江湖Ⅱ,596
The Riftbreaker,560
Myth of Empires,595
Darkest Dungeon®,698
Death's Door,608
Dice & Fold,463
Evil West,600
DARK SOULS™ II: Scholar of the First Sin,533
Dungeons & Dragons Online®,548
Realm of the Mad God Exalt,565
Marvel’s Spider-Man: Miles Morales,492
Bolsa para principiantes de la de la expansión - Guild Wars 2: Heart of Thorns™ y Path of Fire™,655
Eastward,571
For The King,613
ARK: Genesis Season Pass,599
Neverwinter,695
Baldur's Gate 3 - Digital Deluxe Edition DLC,588
Warframe: Paquete de Accesorios de Protea Prime,690
OMORI,712
OCTOPATH TRAVELER II,694
TUNIC,723
PAYDAY 3,636
State of Decay 2: Juggernaut Edition,573
March of Empires,594
The Ascent,629
Banishers: Ghosts of New Eden,564
Angel Legion,766
Darkest Dungeon® II: The Binding Blade,647
Metaphor: ReFantazio,774
Mass Effect™ Legendary Edition,725
RAID: Shadow Legends,793
Foxhole,624
山河旅探 - Murders on the Yangtze River,711
KAKU: Ancient Seal,689
Rust - Sunburn Pack,693
Warframe: Prime Access de Protea - Paquete de Armas,585
Clanfolk,628
Like a Dragon: Infinite Wealth,614
Death Must Die,646
DRAGON QUEST XI S: Ecos de un pasado perdido – Edición definitiva,790
Caves of Qud,692
EVE Online,1156
Undawn,885
Lords Mobile,684
Kenshi,818
Fallout Shelter,733
Len's Island,781
超级星探,743
Crestfallen: Medieval Survival,627
Brotato,722
Doomsday: Last Survivors,1005
Minishoot' Adventures,697
鬼谷八荒 Tale of Immortal,874
Horizon Zero Dawn™ Complete Edition,673
The Lord of the Rings Online™,841
Idle Champions of the Forgotten Realms,749
DRAGON BALL Z: KAKAROT,644
Crusader Kings III: Northern Lords,775
TaleSpire,1028
Chinese Parents,844
ROMANCE OF THE THREE KINGDOMS XIV,621
No Rest for the Wicked,792
Dustland Delivery,800
Nightingale,758
The Elder Scrolls V: Skyrim VR,927
Quasimorph,1026
Battle Brothers,924
Wandering Sword,770
Vampire Survivors: Operation Guns,808
XCOM® 2,767
We Who Are About To Die,952
Dragonheir: Silent Gods,1019
美女，请别影响我学习,798
Ancestors: The Humankind Odyssey,797
Mortal Online 2,1006
Tunguska: The Visitation - Enhanced Edition,825
Time Break Chronicles,883
ASTRA: Knights of Veda,652
ARK Fantastic Tames - Pyromane,839
Dinkum,859
Trine 4: The Nightmare Prince,854
"Warhammer 40,000: Rogue Trader - Deluxe Pack",847
The Coffin of Andy and Leyley,980
Middle-earth™: Shadow of War™,814
SKALD: Against the Black Priory,821
WolfQuest: Anniversary Edition,973
大侠立志传,913
NARUTO TO BORUTO: SHINOBI STRIKER,983
KINGDOM HEARTS III + Re Mind (DLC),789
Monster Hunter Stories,745
子归 - Blossom,975
3on3 FreeStyle: Rebound,1108
Tiny Tina's Wonderlands: Shattering Spectreglass,1029
Crusader Kings III: Fate of Iberia,866
Astral Party,732
Tiny Tina's Wonderlands: Glutton's Gamble,1056
Tiny Tina's Wonderlands: Coiled Captors,1058
Love Is All Around,939
Tiny Tina's Wonderlands: Molten Mirrors,1060
Horticular,869
Crusader Kings III: Wards & Wardens,853
Nevergrind Online,1050
The Elder Scrolls IV: Oblivion® Game of the Year Edition,918
Peglin,868
Persona 3 Reload: pase de expansión,1116
DRAGON QUEST III HD-2D Remake,1095
Azure Orphanage,804
Wildermyth,961
Crow Country,1197
I Am Future: Cozy Apocalypse Survival,902
Gloomhaven,1080
Fable Anniversary,1069
Lote Tesoros perdidos de Fallout 76: Skyline Valley,881
Melvor Idle,994
Fallout 3: Game of the Year Edition,972
Vampyr,990
Darkwood,1090
RPG Maker MZ,1459
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,1102
Mad Max,1049
BLEACH Brave Souls,756
Sea of Stars,1183
ASTLIBRA Revision,1206
Assassin's Creed® Unity,1066
Cryptmaster,1141
Soulstone Survivors,1027
Dungeon Alchemist,919
电竞教父,1122
Pax Dei: Artisan to Master Upgrade Pack,1013
Vampire Survivors: Emergency Meeting,1100
Genome Guardian,889
Cyber Knights: Flashpoint,989
Chrono Ark,948
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,1339
The Sinking City,1065
Afterimage,1031
Warframe: Prime Access de Protea - Paquete Prime,996
"Warhammer 40,000: Mechanicus",809
Mr. Prepper,1039
CounterSide,1304
英雄道國際服,951
Rotwood,958
NieR:Automata™,1222
Visions of Mana,857
Kingdom Two Crowns,1024
Rust - Instruments Pack,1112
Black Myth: Wukong Mejora a edición Deluxe,1252
Fae Farm,862
South Park™: The Fractured But Whole™,1484
ONE PIECE: PIRATE WARRIORS 4,1081
DARK SOULS™ II,1129
Absolver,1093
Potion Craft: Alchemist Simulator,1062
Riviera: The Promised Land,1194
Persona 4 Golden,1008
Might & Magic® Heroes® VII,979
Moonstone Island,1617
Graveyard Keeper,875
KRITIKA:ZERO,1278
USC: Counterforce,1061
The Last Spell - Dwarves of Runenberg,1082
Across The Obelisk: Sands of Ulminin,1446
Soulash 2,1221
PlanetSide 2,0
STAR WARS™ Knights of the Old Republic™,1305
Solasta: Crown of the Magister,1373
Spirit of the Island,1147
Rise of the Tomb Raider™,1097
Eiyuden Chronicle: Hundred Heroes,1621
东方夜雀食堂 - Touhou Mystia's Izakaya,1384
Dark Deception,1464
Aliens: Fireteam Elite,1284
S.T.A.L.K.E.R.: Shadow of Chernobyl,1016
Wildmender,1176
Mortal Sin,1493
ENDER MAGNOLIA: Bloom in the Mist,1251
Warframe: Paquete Coro de Jade,1216
Crusader Kings II,1052
Forager,1282
Magical Girl Celesphonia,1306
Gladiator Guild Manager,1137
Our Adventurer Guild,1297
Elite Dangerous: Odyssey,1839
Stay Out,1336
Idle Slayer,1524
Monster Hunter Rise: Sunbreak,1586
Vagrus - The Riven Realms,1399
Stoneshard,1134
TROUBLESHOOTER: Abandoned Children,1439
手办冒险团,942
觅长生,1334
Maneater: Truth Quest,1256
Tower of Fantasy,1071
Crusader Kings III: Friends & Foes,1146
Cassette Beasts,1408
Assassin's Creed® III Remastered,715
FINAL FANTASY VI,1415
STAR WARS™: The Force Unleashed™ II,1451
Seablip,1203
Yakuza 0,1322
ARK: Scorched Earth - Expansion Pack,1170
The Outer Worlds: Spacer's Choice Edition,1433
ARK: Aberration - Expansion Pack,1164
Princess Project,1127
In Stars And Time,1663
ARK: Extinction - Expansion Pack,1187
Dragon Age: Origins - Ultimate Edition,1510
Dokapon Kingdom: Connect,2015
Lords of the Fallen,867
Ember Knights,1701
DREDGE - The Pale Reach,1573
Ultimate Admiral: Dreadnoughts,1149
STAR WARS Jedi: La Orden caída™,1094
Vampire Survivors: Tides of the Foscari,1428
Just Cause™ 3,1661
Fate/Samurai Remnant,1631
Rival Stars Horse Racing: Desktop Edition,1343
Uncharted Waters Origin,1042
El Reino Robado,1144
Life Makeover,1924
Pathfinder: Kingmaker — Enhanced Plus Edition,1526
Canvas of Kings,1344
龙之谷,1178
Fahrenheit: Indigo Prophecy Remastered,1419
Maniac,1423
Remnant II® - The Forgotten Kingdom,1810
Pax Dei: Journeyman to Artisan Upgrade Pack,1620
Outward Definitive Edition,2331
Dishonored,1612
Magical Delicacy,1262
RPG Maker MV,2871
Suzerain,1330
Bloodstained: Ritual of the Night,1690
Vampire Survivors: Legacy of the Moonspell,1541
Remnant: From the Ashes,1517
Baldur's Gate: Enhanced Edition,1555
Astrea: Six-Sided Oracles,1429
OCTOPATH TRAVELER™,1567
Lost Eidolons,1117
Monster Hunter Stories 2: Wings of Ruin,1407
Dread Delusion,1375
Nioh 2 – The Complete Edition,1556
Starbound,1355
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,1249
The Riftbreaker: Heart of the Swamp,1299
Gunfire Reborn - Artisan and Magician,1456
The Expanse: A Telltale Series,1553
Munchkin Digital,1162
Expansión Guild Wars 2: End of Dragons,1502
Volcano Princess,1498
Sengoku Dynasty,1171
GWENT: The Witcher Card Game,1376
Little-Known Galaxy,1543
Pathfinder: Wrath of the Righteous - A Dance of Masks,1578
Orcs Must Die! 2,1383
Tainted Grail: The Fall of Avalon,1590
Expansión Guild Wars 2: Janthir Wilds™,1397
Attack on Titan 2 - A.O.T.2,1436
Dragon Age™ Inquisition,1474
RoboCop: Rogue City,1650
Hellsplit: Arena,2081
Command & Conquer™ Generals ,1365
KeeperRL,1271
Command & Conquer Red Alert™ 2 and Yuri’s Revenge™,1369
Dungeons of Sundaria,1345
Command & Conquer™ Generals Zero Hour,1379
Union of Gnomes,1392
"Command & Conquer Red Alert™, Counterstrike™ and The Aftermath™",1382
Yet Another Zombie Survivors,1465
Tiny Rogues,1518
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,1877
Warframe: Paquete Crónicas de Dante,1786
Grim Dawn - Ashes of Malmouth Expansion,1412
Dungeon Defenders,1819
Arma 3 Apex,1789
Old World - Wonders and Dynasties,1473
Knight Online,1265
Wizard of Legend,2531
Far Cry 3,1491
Hero Siege,1675
Expansión Guild Wars 2: Secrets of the Obscure™,1703
Taboo Trial,1525
Shakes and Fidget,1324
Kindergarten 2,1879
Dark Deception Complete,1996
Stardeus,1390
Enishia and the Binding Brand,1550
Mount & Blade: Warband,1468
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,1907
SurrounDead,1646
暖雪 Warm Snow,1632
Grim Dawn - Forgotten Gods Expansion,1536
Pixel Descent,1500
Town of Salem 2,2071
CHRONO TRIGGER®,1659
SunnySide,1521
Tactics Ogre: Reborn,2259
METAL SLUG ATTACK RELOADED,1723
Watch_Dogs™,1740
Lost Ark: Paquete de inicio Definitivo,1641
Caribbean Legend,1522
South Park™: The Stick of Truth™,1762
Everafter Falls,1808
The Imperial Gatekeeper,1722
Lost Ark: Paquete de aceleración,2457
The Thaumaturge,1820
Conan Exiles: Isle of Siptah,1771
Halls of Torment,1649
Jagged Alliance 3,1673
Starcom: Unknown Space,1859
Gotham Knights,2182
State of Survival,2016
Gunfire Reborn - Visitors of Spirit Realm,1934
The Elder Scrolls III: Morrowind® Game of the Year Edition,1937
Elsword,3025
The Binding of Isaac,1798
Tomb Raider,1671
Wildermyth - Camino de augurios,1994
Internet Cafe & Supermarket Simulator 2024,1283
VALKYRIE CONNECT,1342
Secrets of Grindea,1915
Toram Online,1596
Titan Quest Anniversary Edition,1425
Craftopia,1496
Denizen,1908
Sacred X：Heavens Wonderland,2125
Heroes® of Might & Magic® III - HD Edition,1214
Fantasy Grounds Unity,1818
Pathfinder: Wrath of the Righteous - Commander Pack,1657
kings call,1964
FINAL FANTASY IX,2083
OUTRIDERS,1640
Shadowverse CCG,1244
EverQuest II,3913
HumanitZ,1604
Dead Frontier 2,1583
Great Houses of Calderia,1598
Warhammer: End Times - Vermintide,1686
Drive Me Crazy,1629
Fallout 4 Far Harbor,1938
Lunacid,1784
The Outer Worlds: Asesinato en Erídano,2032
Wasteland 3,2223
FINAL FANTASY XV WINDOWS EDITION,1557
Far Cry® 4,1594
Inkbound,1452
Slice & Dice,2005
Pillars of Eternity II: Deadfire,2284
Divinity: Original Sin - Enhanced Edition,1394
The Outer Worlds: Peligro en Gorgona,2045
Cyber Manhunt 2: New World - The Hacking Simulator,1753
FINAL FANTASY X/X-2 HD Remaster,1559
Romance of the Three Kingdoms XIII,1705
Space Prison - Supporter Pack,1566
Blood Bowl 3,1626
Heartbound,2149
The Walking Dead: Saints & Sinners,3559
Cavalry Girls 铁骑少女,1709
To Be or Not to Be,1967
Felvidek,1849
Trine 5: A Clockwork Conspiracy,1479
Survive the Nights,1850
FINAL FANTASY V,2008
Bloobs Adventure Idle,1848
Warframe: Paquete de Poder Inicial,1562
Viking Rise: Valhalla,1734
Eastward - Octopia,1704
Zero Division,2078
"Dwarves: Glory, Death and Loot",1981
Bless Unleashed,2226
Magicka 2,2722
Kingdoms of Amalur: Re-Reckoning,2067
Call of Cthulhu®,1960
NieR Replicant™ ver.1.22474487139...,2023
DAVE THE DIVER Digital Extra,1804
The Wild Eight,1769
MythForce,1975
Monster Train,2117
Saints Row: The Third,2571
TRIANGLE STRATEGY,2207
WitchSpring R,2689
Exanima,1959
HELLCARD,2446
Honkai Impact 3rd,1347
CODE VEIN,2756
All Quiet in the Trenches,1999
Deluxe Edition de Mass Effect™: Andromeda,2050
Darkest Dungeon®: The Crimson Court,2157
撩妹模拟器：渣男的秘密,1744
Snufkin: La melodía del Valle Moomin,1674
Little Witch in the Woods,2186
Prey,1802
For The King: Lost Civilization Adventure Pack,1902
KINGDOM HEARTS HD 2.8 Final Chapter Prologue,3487
Dead Rising® 2,2368
FAIRY TAIL,2888
Ryse: Son of Rome,1867
Ori and the Blind Forest,1565
Remnant II® - The Awakened King,2112
"Warhammer 40,000: Rogue Trader - Voidfarer Pack",2161
WORLD OF HORROR,2092
Changed,2233
Yakuza: Like a Dragon,3963
OneShot,2025
Love n Life: Lucky Teacher,1750
Vampire: The Masquerade - Bloodlines,2170
Sons of Valhalla,2037
黄毛漂流记,2269
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,1637
东方光耀夜 ~ Lost Branch of Legend,2390
Streets of Rogue,2562
Dead Rising 3 Apocalypse Edition,2184
No One Survived,2240
MARVEL Puzzle Quest,1564
The Division 2 - One time offer Wrapped Pack (2024),1998
Rogue Legacy 2,1679
FINAL FANTASY IV,2085
BOOK OF HOURS,1989
Ambrosia,2060
下一站江湖Ⅱ-DLC《江湖如梦》,1811
Kristala,1441
Ctrl Alt Ego,1724
STAR OCEAN THE SECOND STORY R,2569
NGU IDLE,2552
"Warhammer 40,000: Inquisitor - Martyr",2844
FINAL FANTASY XII THE ZODIAC AGE,2098
Pixel Starships,3481
BATTLETECH,3430
Worldless,2171
Gems of War - Puzzle RPG,1834
Barony: Legends & Pariahs,2337
Idling to Rule the Gods,2241
DYSMANTLE,2243
FINAL FANTASY,2248
Baldur's Gate II: Enhanced Edition,2981
Battle Brothers - Blazing Deserts,2514
Idle Fishing,2563
Old World - Behind the Throne,2029
Hero Zero - Multiplayer RPG,1843
Holdfast: Nations At War,2109
Achilles: Legends Untold,1971
Far Cry® Primal,1978
绝世好武功 The Matchless KungFu,2516
SEGA Mega Drive and Genesis Classics,2176
SPORE™ Creepy & Cute Parts Pack,2047
There Is No Game: Wrong Dimension,1963
Heroes of Hammerwatch,1948
Fallout Tactics: Brotherhood of Steel,1906
Soulworker,1951
FINAL FANTASY VII,2334
Dragon's Dogma: Dark Arisen,2687
The Legend of Heroes: Trails in the Sky,2505
Assassin's Creed® Syndicate,1822
Symphony of War: The Nephilim Saga,2705
Barony: Myths & Outcasts,2204
Terra Memoria,2444
My Time at Sandrock - Monster Whisperer,2261
